sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
777,false,1,"[3, 7, 37]","Complex[3 + 0im, 7 + 0im, 1 + 6im, 1 - 6im]","Complex[3 + 18im, 7 - 42im, 21 + 0im, 37 + 0im]","Complex[3 + 18im, 7 - 42im, 21 + 0im, 37 + 0im, -18 + 3im, 42 + 7im, 0 + 21im, 0 + 37im, 18 - 3im, -42 - 7im, 0 - 21im, 0 - 37im, -3 - 18im, -7 + 42im, -21 + 0im, -37 + 0im]","(16,)"
778,false,,"[2, 389]","Complex[1 + 1im, 1 - 1im, 10 + 17im, 10 - 17im]","Complex[-7 + 27im, -7 - 27im, 2 + 0im, 389 + 0im]","Complex[-7 + 27im, -7 - 27im, 2 + 0im, 389 + 0im, -27 - 7im, 27 - 7im, 0 + 2im, 0 + 389im, 27 + 7im, -27 + 7im, 0 - 2im, 0 - 389im, 7 - 27im, 7 + 27im, -2 + 0im, -389 + 0im]","(16,)"
779,false,3,"[19, 41]","Complex[19 + 0im, 4 + 5im, 4 - 5im]",Complex[],Any[],"(0,)"
780,false,,"[2, 2, 3, 5, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
781,false,1,"[11, 71]","Complex[11 + 0im, 71 + 0im]","Complex[11 + 0im, 71 + 0im]","Complex[11 + 0im, 71 + 0im, 0 + 11im, 0 + 71im, 0 - 11im, 0 - 71im, -11 + 0im, -71 + 0im]","(8,)"
782,false,,"[2, 17, 23]","Complex[1 + 1im, 1 - 1im, 1 + 4im, 1 - 4im, 23 + 0im]",Complex[],Any[],"(0,)"
783,false,3,"[3, 3, 3, 29]","Complex[3 + 0im, 3 + 0im, 3 + 0im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
784,false,,"[2, 2, 2, 2, 7, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im, 7 + 0im]","Complex[-28 + 0im, 4 + 4im, 98 - 98im]","Complex[-28 + 0im, 4 + 4im, 98 - 98im, 0 - 28im, -4 + 4im, 98 + 98im, 0 + 28im, 4 - 4im, -98 - 98im, 28 + 0im, -4 - 4im, -98 + 98im]","(12,)"
785,false,1,"[5, 157]","Complex[2 + 1im, 2 - 1im, 6 + 11im, 6 - 11im]","Complex[1 + 28im, 1 - 28im, 5 + 0im, 157 + 0im]","Complex[1 + 28im, 1 - 28im, 5 + 0im, 157 + 0im, -28 + 1im, 28 + 1im, 0 + 5im, 0 + 157im, 28 - 1im, -28 - 1im, 0 - 5im, 0 - 157im, -1 - 28im, -1 + 28im, -5 + 0im, -157 + 0im]","(16,)"
786,false,,"[2, 3, 131]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 131 + 0im]","Complex[3 + 3im, 131 - 131im, 2 + 0im, 393 + 0im]","Complex[3 + 3im, 131 - 131im, 2 + 0im, 393 + 0im, -3 + 3im, 131 + 131im, 0 + 2im, 0 + 393im, 3 - 3im, -131 - 131im, 0 - 2im, 0 - 393im, -3 - 3im, -131 + 131im, -2 + 0im, -393 + 0im]","(16,)"
787,true,3,[787],Complex[787 + 0im],Complex[787 + 0im],"Complex[787 + 0im, 0 + 787im, 0 - 787im, -787 + 0im]","(4,)"
788,false,,"[2, 2, 197]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 14im, 1 - 14im]","Complex[-28 + 2im, -28 - 2im, 2 + 2im, 197 - 197im]","Complex[-28 + 2im, -28 - 2im, 2 + 2im, 197 - 197im, -2 - 28im, 2 - 28im, -2 + 2im, 197 + 197im, 2 + 28im, -2 + 28im, 2 - 2im, -197 - 197im, 28 - 2im, 28 + 2im, -2 - 2im, -197 + 197im]","(16,)"
789,false,1,"[3, 263]","Complex[3 + 0im, 263 + 0im]","Complex[3 + 0im, 263 + 0im]","Complex[3 + 0im, 263 + 0im, 0 + 3im, 0 + 263im, 0 - 3im, 0 - 263im, -3 + 0im, -263 + 0im]","(8,)"
790,false,,"[2, 5, 79]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 79 + 0im]",Complex[],Any[],"(0,)"
791,false,3,"[7, 113]","Complex[7 + 0im, 8 + 7im, 8 - 7im]",Complex[],Any[],"(0,)"
792,false,,"[2, 2, 2, 3, 3, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 11 + 0im]",Complex[],Any[],"(0,)"
793,false,1,"[13, 61]","Complex[3 + 2im, 3 - 2im, 5 + 6im, 5 - 6im]","Complex[3 + 28im, 3 - 28im, 13 + 0im, 61 + 0im]","Complex[3 + 28im, 3 - 28im, 13 + 0im, 61 + 0im, -28 + 3im, 28 + 3im, 0 + 13im, 0 + 61im, 28 - 3im, -28 - 3im, 0 - 13im, 0 - 61im, -3 - 28im, -3 + 28im, -13 + 0im, -61 + 0im]","(16,)"
794,false,,"[2, 397]","Complex[1 + 1im, 1 - 1im, 6 + 19im, 6 - 19im]","Complex[-13 + 25im, -13 - 25im, 2 + 0im, 397 + 0im]","Complex[-13 + 25im, -13 - 25im, 2 + 0im, 397 + 0im, -25 - 13im, 25 - 13im, 0 + 2im, 0 + 397im, 25 + 13im, -25 + 13im, 0 - 2im, 0 - 397im, 13 - 25im, 13 + 25im, -2 + 0im, -397 + 0im]","(16,)"
795,false,3,"[3, 5, 53]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 7 + 2im, 7 - 2im]",Complex[],Any[],"(0,)"
796,false,,"[2, 2, 199]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 199 + 0im]",Complex[],Any[],"(0,)"
797,true,1,[797],"Complex[11 + 26im, 11 - 26im]","Complex[11 + 26im, 11 - 26im]","Complex[11 + 26im, 11 - 26im, -26 + 11im, 26 + 11im, 26 - 11im, -26 - 11im, -11 - 26im, -11 + 26im]","(8,)"
798,false,,"[2, 3, 7, 19]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im, 19 + 0im]",Complex[],Any[],"(0,)"
799,false,3,"[17, 47]","Complex[1 + 4im, 1 - 4im, 47 + 0im]",Complex[],Any[],"(0,)"
800,false,,"[2, 2, 2, 2, 2, 5, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]","Complex[4 - 28im, 4 + 28im, 8 + 8im, 50 - 50im]","Complex[4 - 28im, 4 + 28im, 8 + 8im, 50 - 50im, 28 + 4im, -28 + 4im, -8 + 8im, 50 + 50im, -28 - 4im, 28 - 4im, 8 - 8im, -50 - 50im, -4 + 28im, -4 - 28im, -8 - 8im, -50 + 50im]","(16,)"
801,false,1,"[3, 3, 89]","Complex[3 + 0im, 3 + 0im, 5 + 8im, 5 - 8im]","Complex[15 + 24im, 15 - 24im, 9 + 0im, 89 + 0im]","Complex[15 + 24im, 15 - 24im, 9 + 0im, 89 + 0im, -24 + 15im, 24 + 15im, 0 + 9im, 0 + 89im, 24 - 15im, -24 - 15im, 0 - 9im, 0 - 89im, -15 - 24im, -15 + 24im, -9 + 0im, -89 + 0im]","(16,)"
802,false,,"[2, 401]","Complex[1 + 1im, 1 - 1im, 20 + 1im, 20 - 1im]","Complex[19 + 21im, 19 - 21im, 2 + 0im, 401 + 0im]","Complex[19 + 21im, 19 - 21im, 2 + 0im, 401 + 0im, -21 + 19im, 21 + 19im, 0 + 2im, 0 + 401im, 21 - 19im, -21 - 19im, 0 - 2im, 0 - 401im, -19 - 21im, -19 + 21im, -2 + 0im, -401 + 0im]","(16,)"
803,false,3,"[11, 73]","Complex[11 + 0im, 8 + 3im, 8 - 3im]",Complex[],Any[],"(0,)"
804,false,,"[2, 2, 3, 67]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 67 + 0im]","Complex[0 + 6im, 0 - 134im, 2 + 2im, 201 - 201im]","Complex[0 + 6im, 0 - 134im, 2 + 2im, 201 - 201im, -6 + 0im, 134 + 0im, -2 + 2im, 201 + 201im, 6 + 0im, -134 + 0im, 2 - 2im, -201 - 201im, 0 - 6im, 0 + 134im, -2 - 2im, -201 + 201im]","(16,)"
805,false,1,"[5, 7, 23]","Complex[2 + 1im, 2 - 1im, 7 + 0im, 23 + 0im]","Complex[14 + 7im, 46 - 23im, 5 + 0im, 161 + 0im]","Complex[14 + 7im, 46 - 23im, 5 + 0im, 161 + 0im, -7 + 14im, 23 + 46im, 0 + 5im, 0 + 161im, 7 - 14im, -23 - 46im, 0 - 5im, 0 - 161im, -14 - 7im, -46 + 23im, -5 + 0im, -161 + 0im]","(16,)"
806,false,,"[2, 13, 31]","Complex[1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im, 31 + 0im]",Complex[],Any[],"(0,)"
807,false,3,"[3, 269]","Complex[3 + 0im, 10 + 13im, 10 - 13im]",Complex[],Any[],"(0,)"
808,false,,"[2, 2, 2, 101]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 10 + 1im, 10 - 1im]","Complex[-22 + 18im, -22 - 18im, 4 + 0im, 202 + 0im]","Complex[-22 + 18im, -22 - 18im, 4 + 0im, 202 + 0im, -18 - 22im, 18 - 22im, 0 + 4im, 0 + 202im, 18 + 22im, -18 + 22im, 0 - 4im, 0 - 202im, 22 - 18im, 22 + 18im, -4 + 0im, -202 + 0im]","(16,)"
809,true,1,[809],"Complex[28 + 5im, 28 - 5im]","Complex[28 + 5im, 28 - 5im]","Complex[28 + 5im, 28 - 5im, -5 + 28im, 5 + 28im, 5 - 28im, -5 - 28im, -28 - 5im, -28 + 5im]","(8,)"
810,false,,"[2, 3, 3, 3, 3, 5]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im]","Complex[9 + 27im, 9 - 27im, 18 + 0im, 45 + 0im]","Complex[9 + 27im, 9 - 27im, 18 + 0im, 45 + 0im, -27 + 9im, 27 + 9im, 0 + 18im, 0 + 45im, 27 - 9im, -27 - 9im, 0 - 18im, 0 - 45im, -9 - 27im, -9 + 27im, -18 + 0im, -45 + 0im]","(16,)"
811,true,3,[811],Complex[811 + 0im],Complex[811 + 0im],"Complex[811 + 0im, 0 + 811im, 0 - 811im, -811 + 0im]","(4,)"
812,false,,"[2, 2, 7, 29]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
813,false,1,"[3, 271]","Complex[3 + 0im, 271 + 0im]","Complex[3 + 0im, 271 + 0im]","Complex[3 + 0im, 271 + 0im, 0 + 3im, 0 + 271im, 0 - 3im, 0 - 271im, -3 + 0im, -271 + 0im]","(8,)"
814,false,,"[2, 11, 37]","Complex[1 + 1im, 1 - 1im, 11 + 0im, 1 + 6im, 1 - 6im]",Complex[],Any[],"(0,)"
815,false,3,"[5, 163]","Complex[2 + 1im, 2 - 1im, 163 + 0im]",Complex[],Any[],"(0,)"
816,false,,"[2, 2, 2, 2, 3, 17]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
817,false,1,"[19, 43]","Complex[19 + 0im, 43 + 0im]","Complex[19 + 0im, 43 + 0im]","Complex[19 + 0im, 43 + 0im, 0 + 19im, 0 + 43im, 0 - 19im, 0 - 43im, -19 + 0im, -43 + 0im]","(8,)"
818,false,,"[2, 409]","Complex[1 + 1im, 1 - 1im, 3 + 20im, 3 - 20im]","Complex[-17 + 23im, -17 - 23im, 2 + 0im, 409 + 0im]","Complex[-17 + 23im, -17 - 23im, 2 + 0im, 409 + 0im, -23 - 17im, 23 - 17im, 0 + 2im, 0 + 409im, 23 + 17im, -23 + 17im, 0 - 2im, 0 - 409im, 17 - 23im, 17 + 23im, -2 + 0im, -409 + 0im]","(16,)"
819,false,3,"[3, 3, 7, 13]","Complex[3 + 0im, 3 + 0im, 7 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
820,false,,"[2, 2, 5, 41]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 4 + 5im, 4 - 5im]","Complex[-28 + 6im, -28 - 6im, 4 + 0im, 205 + 0im]","Complex[-28 + 6im, -28 - 6im, 4 + 0im, 205 + 0im, -6 - 28im, 6 - 28im, 0 + 4im, 0 + 205im, 6 + 28im, -6 + 28im, 0 - 4im, 0 - 205im, 28 - 6im, 28 + 6im, -4 + 0im, -205 + 0im]","(16,)"
821,true,1,[821],"Complex[25 + 14im, 25 - 14im]","Complex[25 + 14im, 25 - 14im]","Complex[25 + 14im, 25 - 14im, -14 + 25im, 14 + 25im, 14 - 25im, -14 - 25im, -25 - 14im, -25 + 14im]","(8,)"
822,false,,"[2, 3, 137]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 4 + 11im, 4 - 11im]",Complex[],Any[],"(0,)"
823,true,3,[823],Complex[823 + 0im],Complex[823 + 0im],"Complex[823 + 0im, 0 + 823im, 0 - 823im, -823 + 0im]","(4,)"
824,false,,"[2, 2, 2, 103]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 103 + 0im]",Complex[],Any[],"(0,)"
825,false,1,"[3, 5, 5, 11]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 11 + 0im]","Complex[9 - 12im, 33 + 44im, 15 + 0im, 55 + 0im]","Complex[9 - 12im, 33 + 44im, 15 + 0im, 55 + 0im, 12 + 9im, -44 + 33im, 0 + 15im, 0 + 55im, -12 - 9im, 44 - 33im, 0 - 15im, 0 - 55im, -9 + 12im, -33 - 44im, -15 + 0im, -55 + 0im]","(16,)"
826,false,,"[2, 7, 59]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 59 + 0im]","Complex[7 + 7im, 59 - 59im, 2 + 0im, 413 + 0im]","Complex[7 + 7im, 59 - 59im, 2 + 0im, 413 + 0im, -7 + 7im, 59 + 59im, 0 + 2im, 0 + 413im, 7 - 7im, -59 - 59im, 0 - 2im, 0 - 413im, -7 - 7im, -59 + 59im, -2 + 0im, -413 + 0im]","(16,)"
827,true,3,[827],Complex[827 + 0im],Complex[827 + 0im],"Complex[827 + 0im, 0 + 827im, 0 - 827im, -827 + 0im]","(4,)"
828,false,,"[2, 2, 3, 3, 23]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 23 + 0im]",Complex[],Any[],"(0,)"
829,true,1,[829],"Complex[27 + 10im, 27 - 10im]","Complex[27 + 10im, 27 - 10im]","Complex[27 + 10im, 27 - 10im, -10 + 27im, 10 + 27im, 10 - 27im, -10 - 27im, -27 - 10im, -27 + 10im]","(8,)"
830,false,,"[2, 5, 83]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 83 + 0im]",Complex[],Any[],"(0,)"
831,false,3,"[3, 277]","Complex[3 + 0im, 9 + 14im, 9 - 14im]",Complex[],Any[],"(0,)"
832,false,,"[2, 2, 2, 2, 2, 2, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im]","Complex[16 - 24im, 16 + 24im, 8 + 8im, 52 - 52im]","Complex[16 - 24im, 16 + 24im, 8 + 8im, 52 - 52im, 24 + 16im, -24 + 16im, -8 + 8im, 52 + 52im, -24 - 16im, 24 - 16im, 8 - 8im, -52 - 52im, -16 + 24im, -16 - 24im, -8 - 8im, -52 + 52im]","(16,)"
833,false,1,"[7, 7, 17]","Complex[7 + 0im, 7 + 0im, 1 + 4im, 1 - 4im]","Complex[7 + 28im, 7 - 28im, 49 + 0im, 17 + 0im]","Complex[7 + 28im, 7 - 28im, 49 + 0im, 17 + 0im, -28 + 7im, 28 + 7im, 0 + 49im, 0 + 17im, 28 - 7im, -28 - 7im, 0 - 49im, 0 - 17im, -7 - 28im, -7 + 28im, -49 + 0im, -17 + 0im]","(16,)"
834,false,,"[2, 3, 139]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 139 + 0im]","Complex[3 + 3im, 139 - 139im, 2 + 0im, 417 + 0im]","Complex[3 + 3im, 139 - 139im, 2 + 0im, 417 + 0im, -3 + 3im, 139 + 139im, 0 + 2im, 0 + 417im, 3 - 3im, -139 - 139im, 0 - 2im, 0 - 417im, -3 - 3im, -139 + 139im, -2 + 0im, -417 + 0im]","(16,)"
835,false,3,"[5, 167]","Complex[2 + 1im, 2 - 1im, 167 + 0im]",Complex[],Any[],"(0,)"
836,false,,"[2, 2, 11, 19]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 11 + 0im, 19 + 0im]","Complex[0 + 22im, 0 - 38im, 2 + 2im, 209 - 209im]","Complex[0 + 22im, 0 - 38im, 2 + 2im, 209 - 209im, -22 + 0im, 38 + 0im, -2 + 2im, 209 + 209im, 22 + 0im, -38 + 0im, 2 - 2im, -209 - 209im, 0 - 22im, 0 + 38im, -2 - 2im, -209 + 209im]","(16,)"
837,false,1,"[3, 3, 3, 31]","Complex[3 + 0im, 3 + 0im, 3 + 0im, 31 + 0im]","Complex[9 + 0im, 93 + 0im]","Complex[9 + 0im, 93 + 0im, 0 + 9im, 0 + 93im, 0 - 9im, 0 - 93im, -9 + 0im, -93 + 0im]","(8,)"
838,false,,"[2, 419]","Complex[1 + 1im, 1 - 1im, 419 + 0im]",Complex[],Any[],"(0,)"
839,true,3,[839],Complex[839 + 0im],Complex[839 + 0im],"Complex[839 + 0im, 0 + 839im, 0 - 839im, -839 + 0im]","(4,)"
840,false,,"[2, 2, 2, 3, 5, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im, 7 + 0im]","Complex[-6 + 18im, -14 - 42im, 4 + 4im, 105 - 105im]","Complex[-6 + 18im, -14 - 42im, 4 + 4im, 105 - 105im, -18 - 6im, 42 - 14im, -4 + 4im, 105 + 105im, 18 + 6im, -42 + 14im, 4 - 4im, -105 - 105im, 6 - 18im, 14 + 42im, -4 - 4im, -105 + 105im]","(16,)"
841,false,1,"[29, 29]","Complex[2 + 5im, 2 - 5im, 2 + 5im, 2 - 5im]","Complex[-21 + 20im, -21 - 20im, 29 + 0im]","Complex[-21 + 20im, -21 - 20im, 29 + 0im, -20 - 21im, 20 - 21im, 0 + 29im, 20 + 21im, -20 + 21im, 0 - 29im, 21 - 20im, 21 + 20im, -29 + 0im]","(12,)"
842,false,,"[2, 421]","Complex[1 + 1im, 1 - 1im, 14 + 15im, 14 - 15im]","Complex[-1 + 29im, -1 - 29im, 2 + 0im, 421 + 0im]","Complex[-1 + 29im, -1 - 29im, 2 + 0im, 421 + 0im, -29 - 1im, 29 - 1im, 0 + 2im, 0 + 421im, 29 + 1im, -29 + 1im, 0 - 2im, 0 - 421im, 1 - 29im, 1 + 29im, -2 + 0im, -421 + 0im]","(16,)"
843,false,3,"[3, 281]","Complex[3 + 0im, 16 + 5im, 16 - 5im]",Complex[],Any[],"(0,)"
844,false,,"[2, 2, 211]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 211 + 0im]",Complex[],Any[],"(0,)"
845,false,1,"[5, 13, 13]","Complex[2 + 1im, 2 - 1im, 3 + 2im, 3 - 2im, 3 + 2im, 3 - 2im]","Complex[-2 + 29im, -2 - 29im, 15 + 10im, 39 - 26im]","Complex[-2 + 29im, -2 - 29im, 15 + 10im, 39 - 26im, -29 - 2im, 29 - 2im, -10 + 15im, 26 + 39im, 29 + 2im, -29 + 2im, 10 - 15im, -26 - 39im, 2 - 29im, 2 + 29im, -15 - 10im, -39 + 26im]","(16,)"
846,false,,"[2, 3, 3, 47]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 47 + 0im]",Complex[],Any[],"(0,)"
847,false,3,"[7, 11, 11]","Complex[7 + 0im, 11 + 0im, 11 + 0im]",Complex[],Any[],"(0,)"
848,false,,"[2, 2, 2, 2, 53]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 2im, 7 - 2im]","Complex[-28 - 8im, -28 + 8im, 4 + 4im, 106 - 106im]","Complex[-28 - 8im, -28 + 8im, 4 + 4im, 106 - 106im, 8 - 28im, -8 - 28im, -4 + 4im, 106 + 106im, -8 + 28im, 8 + 28im, 4 - 4im, -106 - 106im, 28 + 8im, 28 - 8im, -4 - 4im, -106 + 106im]","(16,)"
849,false,1,"[3, 283]","Complex[3 + 0im, 283 + 0im]","Complex[3 + 0im, 283 + 0im]","Complex[3 + 0im, 283 + 0im, 0 + 3im, 0 + 283im, 0 - 3im, 0 - 283im, -3 + 0im, -283 + 0im]","(8,)"
850,false,,"[2, 5, 5, 17]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 1 + 4im, 1 - 4im]","Complex[-29 + 3im, -29 - 3im, 10 + 0im, 85 + 0im]","Complex[-29 + 3im, -29 - 3im, 10 + 0im, 85 + 0im, -3 - 29im, 3 - 29im, 0 + 10im, 0 + 85im, 3 + 29im, -3 + 29im, 0 - 10im, 0 - 85im, 29 - 3im, 29 + 3im, -10 + 0im, -85 + 0im]","(16,)"
851,false,3,"[23, 37]","Complex[23 + 0im, 1 + 6im, 1 - 6im]",Complex[],Any[],"(0,)"
852,false,,"[2, 2, 3, 71]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 71 + 0im]","Complex[0 + 6im, 0 - 142im, 2 + 2im, 213 - 213im]","Complex[0 + 6im, 0 - 142im, 2 + 2im, 213 - 213im, -6 + 0im, 142 + 0im, -2 + 2im, 213 + 213im, 6 + 0im, -142 + 0im, 2 - 2im, -213 - 213im, 0 - 6im, 0 + 142im, -2 - 2im, -213 + 213im]","(16,)"
853,true,1,[853],"Complex[23 + 18im, 23 - 18im]","Complex[23 + 18im, 23 - 18im]","Complex[23 + 18im, 23 - 18im, -18 + 23im, 18 + 23im, 18 - 23im, -18 - 23im, -23 - 18im, -23 + 18im]","(8,)"
854,false,,"[2, 7, 61]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 5 + 6im, 5 - 6im]",Complex[],Any[],"(0,)"
855,false,3,"[3, 3, 5, 19]","Complex[3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
856,false,,"[2, 2, 2, 107]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 107 + 0im]",Complex[],Any[],"(0,)"
857,true,1,[857],"Complex[4 + 29im, 4 - 29im]","Complex[4 + 29im, 4 - 29im]","Complex[4 + 29im, 4 - 29im, -29 + 4im, 29 + 4im, 29 - 4im, -29 - 4im, -4 - 29im, -4 + 29im]","(8,)"
858,false,,"[2, 3, 11, 13]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 11 + 0im, 3 + 2im, 3 - 2im]","Complex[3 + 15im, 11 - 55im, 6 + 0im, 143 + 0im]","Complex[3 + 15im, 11 - 55im, 6 + 0im, 143 + 0im, -15 + 3im, 55 + 11im, 0 + 6im, 0 + 143im, 15 - 3im, -55 - 11im, 0 - 6im, 0 - 143im, -3 - 15im, -11 + 55im, -6 + 0im, -143 + 0im]","(16,)"
859,true,3,[859],Complex[859 + 0im],Complex[859 + 0im],"Complex[859 + 0im, 0 + 859im, 0 - 859im, -859 + 0im]","(4,)"
860,false,,"[2, 2, 5, 43]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 43 + 0im]",Complex[],Any[],"(0,)"
861,false,1,"[3, 7, 41]","Complex[3 + 0im, 7 + 0im, 4 + 5im, 4 - 5im]","Complex[12 + 15im, 28 - 35im, 21 + 0im, 41 + 0im]","Complex[12 + 15im, 28 - 35im, 21 + 0im, 41 + 0im, -15 + 12im, 35 + 28im, 0 + 21im, 0 + 41im, 15 - 12im, -35 - 28im, 0 - 21im, 0 - 41im, -12 - 15im, -28 + 35im, -21 + 0im, -41 + 0im]","(16,)"
862,false,,"[2, 431]","Complex[1 + 1im, 1 - 1im, 431 + 0im]",Complex[],Any[],"(0,)"
863,true,3,[863],Complex[863 + 0im],Complex[863 + 0im],"Complex[863 + 0im, 0 + 863im, 0 - 863im, -863 + 0im]","(4,)"
864,false,,"[2, 2, 2, 2, 2, 3, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
865,false,1,"[5, 173]","Complex[2 + 1im, 2 - 1im, 2 + 13im, 2 - 13im]","Complex[-9 + 28im, -9 - 28im, 5 + 0im, 173 + 0im]","Complex[-9 + 28im, -9 - 28im, 5 + 0im, 173 + 0im, -28 - 9im, 28 - 9im, 0 + 5im, 0 + 173im, 28 + 9im, -28 + 9im, 0 - 5im, 0 - 173im, 9 - 28im, 9 + 28im, -5 + 0im, -173 + 0im]","(16,)"
866,false,,"[2, 433]","Complex[1 + 1im, 1 - 1im, 12 + 17im, 12 - 17im]","Complex[-5 + 29im, -5 - 29im, 2 + 0im, 433 + 0im]","Complex[-5 + 29im, -5 - 29im, 2 + 0im, 433 + 0im, -29 - 5im, 29 - 5im, 0 + 2im, 0 + 433im, 29 + 5im, -29 + 5im, 0 - 2im, 0 - 433im, 5 - 29im, 5 + 29im, -2 + 0im, -433 + 0im]","(16,)"
867,false,3,"[3, 17, 17]","Complex[3 + 0im, 1 + 4im, 1 - 4im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
868,false,,"[2, 2, 7, 31]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im, 31 + 0im]","Complex[0 + 14im, 0 - 62im, 2 + 2im, 217 - 217im]","Complex[0 + 14im, 0 - 62im, 2 + 2im, 217 - 217im, -14 + 0im, 62 + 0im, -2 + 2im, 217 + 217im, 14 + 0im, -62 + 0im, 2 - 2im, -217 - 217im, 0 - 14im, 0 + 62im, -2 - 2im, -217 + 217im]","(16,)"
869,false,1,"[11, 79]","Complex[11 + 0im, 79 + 0im]","Complex[11 + 0im, 79 + 0im]","Complex[11 + 0im, 79 + 0im, 0 + 11im, 0 + 79im, 0 - 11im, 0 - 79im, -11 + 0im, -79 + 0im]","(8,)"
870,false,,"[2, 3, 5, 29]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
871,false,3,"[13, 67]","Complex[3 + 2im, 3 - 2im, 67 + 0im]",Complex[],Any[],"(0,)"
