sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
464,false,,"[2, 2, 2, 2, 29]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 5im, 2 - 5im]","Complex[-8 - 20im, -8 + 20im, 4 + 4im, 58 - 58im]","Complex[-8 - 20im, -8 + 20im, 4 + 4im, 58 - 58im, 20 - 8im, -20 - 8im, -4 + 4im, 58 + 58im, -20 + 8im, 20 + 8im, 4 - 4im, -58 - 58im, 8 + 20im, 8 - 20im, -4 - 4im, -58 + 58im]","(16,)"
465,false,1,"[3, 5, 31]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 31 + 0im]","Complex[6 - 3im, 62 + 31im, 6 + 3im, 62 - 31im]","Complex[6 - 3im, 62 + 31im, 6 + 3im, 62 - 31im, 3 + 6im, -31 + 62im, -3 + 6im, 31 + 62im, -3 - 6im, 31 - 62im, 3 - 6im, -31 - 62im, -6 + 3im, -62 - 31im, -6 - 3im, -62 + 31im]","(16,)"
466,false,,"[2, 233]","Complex[1 + 1im, 1 - 1im, 8 + 13im, 8 - 13im]","Complex[-5 + 21im, -5 - 21im, 2 + 0im, 233 + 0im]","Complex[-5 + 21im, -5 - 21im, 2 + 0im, 233 + 0im, -21 - 5im, 21 - 5im, 0 + 2im, 0 + 233im, 21 + 5im, -21 + 5im, 0 - 2im, 0 - 233im, 5 - 21im, 5 + 21im, -2 + 0im, -233 + 0im]","(16,)"
467,true,3,[467],Complex[467 + 0im],Complex[467 + 0im],"Complex[467 + 0im, 0 + 467im, 0 - 467im, -467 + 0im]","(4,)"
468,false,,"[2, 2, 3, 3, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 2im, 3 - 2im]","Complex[-12 + 18im, -12 - 18im, 4 + 0im, 117 + 0im]","Complex[-12 + 18im, -12 - 18im, 4 + 0im, 117 + 0im, -18 - 12im, 18 - 12im, 0 + 4im, 0 + 117im, 18 + 12im, -18 + 12im, 0 - 4im, 0 - 117im, 12 - 18im, 12 + 18im, -4 + 0im, -117 + 0im]","(16,)"
469,false,1,"[7, 67]","Complex[7 + 0im, 67 + 0im]","Complex[7 + 0im, 67 + 0im]","Complex[7 + 0im, 67 + 0im, 0 + 7im, 0 + 67im, 0 - 7im, 0 - 67im, -7 + 0im, -67 + 0im]","(8,)"
470,false,,"[2, 5, 47]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 47 + 0im]",Complex[],Any[],"(0,)"
471,false,3,"[3, 157]","Complex[3 + 0im, 6 + 11im, 6 - 11im]",Complex[],Any[],"(0,)"
472,false,,"[2, 2, 2, 59]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 59 + 0im]",Complex[],Any[],"(0,)"
473,false,1,"[11, 43]","Complex[11 + 0im, 43 + 0im]","Complex[11 + 0im, 43 + 0im]","Complex[11 + 0im, 43 + 0im, 0 + 11im, 0 + 43im, 0 - 11im, 0 - 43im, -11 + 0im, -43 + 0im]","(8,)"
474,false,,"[2, 3, 79]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 79 + 0im]","Complex[3 + 3im, 79 - 79im, 2 + 0im, 237 + 0im]","Complex[3 + 3im, 79 - 79im, 2 + 0im, 237 + 0im, -3 + 3im, 79 + 79im, 0 + 2im, 0 + 237im, 3 - 3im, -79 - 79im, 0 - 2im, 0 - 237im, -3 - 3im, -79 + 79im, -2 + 0im, -237 + 0im]","(16,)"
475,false,3,"[5, 5, 19]","Complex[2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
476,false,,"[2, 2, 7, 17]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
477,false,1,"[3, 3, 53]","Complex[3 + 0im, 3 + 0im, 7 + 2im, 7 - 2im]","Complex[21 + 6im, 21 - 6im, 9 + 0im, 53 + 0im]","Complex[21 + 6im, 21 - 6im, 9 + 0im, 53 + 0im, -6 + 21im, 6 + 21im, 0 + 9im, 0 + 53im, 6 - 21im, -6 - 21im, 0 - 9im, 0 - 53im, -21 - 6im, -21 + 6im, -9 + 0im, -53 + 0im]","(16,)"
478,false,,"[2, 239]","Complex[1 + 1im, 1 - 1im, 239 + 0im]",Complex[],Any[],"(0,)"
479,true,3,[479],Complex[479 + 0im],Complex[479 + 0im],"Complex[479 + 0im, 0 + 479im, 0 - 479im, -479 + 0im]","(4,)"
480,false,,"[2, 2, 2, 2, 2, 3, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
481,false,1,"[13, 37]","Complex[3 + 2im, 3 - 2im, 1 + 6im, 1 - 6im]","Complex[-9 + 20im, -9 - 20im, 13 + 0im, 37 + 0im]","Complex[-9 + 20im, -9 - 20im, 13 + 0im, 37 + 0im, -20 - 9im, 20 - 9im, 0 + 13im, 0 + 37im, 20 + 9im, -20 + 9im, 0 - 13im, 0 - 37im, 9 - 20im, 9 + 20im, -13 + 0im, -37 + 0im]","(16,)"
